Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,,,2026-01-29,2026-02-05 22:51 CET,BIS,"https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?","https://data.bis.org/topics/LBS/BIS,WS_LBS_D_PUB,1.0/Q.S.C.G.USD.A.5J.A.5A.C.SG.N?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/LBS

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2013-12-31,F:Free,,B:Break,11805.105
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2014-03-31,F:Free,11784.656,B:Break,16866.656
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2014-06-30,F:Free,,A:Normal value,18163.929
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2014-09-30,F:Free,,A:Normal value,18596.199
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2014-12-31,F:Free,20066.606,B:Break,22645.554
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2015-03-31,F:Free,,A:Normal value,22648.597
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2015-06-30,F:Free,25158.047,B:Break,25290.597
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2015-09-30,F:Free,,A:Normal value,24178.362
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2015-12-31,F:Free,23586.92,B:Break,24614.713
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.USD.A.5J.A.5A.C.SG.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,USD:US dollar,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,C:Non-financial corporations,SG:Singapore,N:Cross-border,US dollar,Millions,2016-03-31,F:Free,,A:Normal value,27982.06
